1300,0.476,0.000102,0.962,0.106,0.137,0.06705,0.12,0.729735,0.451
515,0.399,0.000105,0.761,0.0456,0.0757,0.10529999999999999,0.0334,0.70042,0.244
764,0.742,0.00011,0.965,0.607,0.0703,0.13818333333333335,0.0538,0.6152000000000001,0.391
1333,0.45,0.000111,0.986,0.251,0.0645,0.03973333333333333,0.151,0.79988,0.172
595,0.857,0.000117,0.948,0.816,0.317,0.11501666666666667,0.204,0.70001,0.669
1336,0.398,0.000123,0.955,0.458,0.299,0.0565,0.0698,0.50015,0.134
672,0.701,0.000134,0.914,0.000137,0.169,0.07438333333333333,0.129,0.61983,0.372
346,0.688,0.000141,0.587,0.92,0.0421,0.14201666666666668,0.046,0.62506,0.757
62,0.54,0.000145,0.945,0.753,0.667,0.11066666666666666,0.0406,0.464975,0.87
225,0.853,0.000156,0.532,0.88,0.0643,0.22405,0.121,0.49994500000000003,0.499
1305,0.406,0.000168,0.936,0.242,0.062,0.07606666666666667,0.11,0.69961,0.26
850,0.641,0.000173,0.954,0.425,0.0535,0.11274999999999999,0.0589,0.61395,0.827
1674,0.537,0.000175,0.624,2.2e-006,0.116,0.14656666666666668,0.325,0.511575,0.4
655,0.695,0.000183,0.792,0.439,0.0638,0.07658333333333332,0.0328,0.56004,0.424
420,0.284,0.000199,0.961,0.0,0.365,0.06655,0.0567,0.931435,0.199
1667,0.55,0.0002,0.747,1.44e-006,0.113,0.11495000000000001,0.0334,0.64007,0.185
1974,0.614,0.000204,0.873,0.504,0.346,0.10588333333333333,0.0616,0.66037,0.615
534,0.228,0.00023,0.886,0.848,0.307,0.0645,0.0497,0.826005,0.499
389,0.329,0.000239,0.814,0.0944,0.0936,0.10008333333333333,0.0674,0.60231,0.403
21,0.747,0.00024,0.74,0.369,0.0995,0.0689,0.0323,0.650155,0.77
496,0.515,0.000248,0.876,0.156,0.0606,0.0908,0.0375,0.52564,0.707
656,0.375,0.000258,0.804,0.694,0.322,0.09455,0.0372,0.77033,0.394
166,0.644,0.000259,0.758,0.0708,0.0726,0.13098333333333334,0.0458,0.5449499999999999,0.752
1321,0.285,0.000273,0.989,0.797,0.104,0.07345,0.147,0.700095,0.201
1323,0.256,0.000283,0.98,0.0196,0.618,0.08511666666666667,0.0964,0.47495,0.11
654,0.771,0.000289,0.949,0.602,0.595,0.07853333333333333,0.175,0.559795,0.372
746,0.827,0.000294,0.462,0.543,0.0886,0.17788333333333334,0.0623,0.61997,0.341
486,0.697,0.000299,0.68,0.00674,0.125,0.11411666666666667,0.0318,0.49001,0.288
1162,0.905,0.000339,0.596,2.05e-005,0.0897,0.12493333333333334,0.118,0.7499800000000001,0.419
1991,0.544,0.000366,0.788,0.0,0.141,0.09321666666666667,0.0474,0.7406050000000001,0.821
635,0.472,0.000373,0.855,0.93,0.887,0.11561666666666667,0.069,0.7745399999999999,0.166
1308,0.456,0.000393,0.97,0.0432,0.0914,0.07758333333333334,0.175,0.62488,0.0399
940,0.804,0.0004,0.64,0.935,0.0812,0.1433,0.0404,0.620035,0.0451
484,0.796,0.000407,0.774,0.812,0.0784,0.08055,0.0509,0.624945,0.327
467,0.823,0.000419,0.811,0.0745,0.176,0.10263333333333334,0.0661,0.52315,0.718
591,0.603,0.000451,0.978,0.493,0.404,0.022783333333333333,0.186,0.75036,0.496
558,0.428,0.000455,0.972,0.000854,0.313,0.07214999999999999,0.0514,0.6653199999999999,0.48
741,0.701,0.000483,0.829,0.00223,0.14,0.09581666666666666,0.0513,0.6617449999999999,0.501
1699,0.581,0.000501,0.86,0.0,0.305,0.05765,0.036,0.6147050000000001,0.48
769,0.771,0.000518,0.963,0.901,0.147,0.12156666666666666,0.0363,0.62,0.591
611,0.831,0.000548,0.373,0.000362,0.1,0.11493333333333333,0.157,0.480575,0.356
1644,0.841,0.000552,0.673,0.419,0.228,0.12268333333333332,0.119,0.63503,0.197
1486,0.624,0.000569,0.673,1.54e-006,0.104,0.06695000000000001,0.0268,0.60993,0.458
2011,0.528,0.000586,0.879,0.00489,0.0432,0.09818333333333333,0.12,0.64134,0.327
795,0.803,0.000588,0.769,0.9,0.0683,0.11708333333333334,0.0561,0.6149600000000001,0.17
1990,0.594,0.00059,0.858,3.11e-006,0.0642,0.07231666666666667,0.0387,0.690105,0.646
765,0.805,0.000595,0.79,0.889,0.0296,0.13216666666666665,0.0577,0.61497,0.533
23,0.224,0.000596,0.925,1.35e-006,0.0663,0.0285,0.0834,0.69011,0.364
782,0.487,0.000599,0.68,0.0339,0.144,0.14161666666666667,0.0408,0.47229999999999994,0.076
428,0.469,0.000613,0.823,0.000829,0.185,0.0658,0.0583,0.61158,0.138
1274,0.388,0.000619,0.542,0.0,0.175,0.10203333333333334,0.0321,0.6793300000000001,0.128
893,0.906,0.000624,0.648,0.0857,0.272,0.14570000000000002,0.0734,0.6199,0.646
1481,0.375,0.00064,0.93,0.0,0.318,0.04384999999999999,0.0561,0.7356199999999999,0.5
1825,0.493,0.000668,0.956,0.0,0.416,0.07035,0.138,0.80003,0.467
1325,0.274,0.000673,0.925,0.156,0.47,0.08673333333333333,0.111,0.80625,0.102
1443,0.503,0.000679,0.989,0.542,0.548,0.013116666666666667,0.065,0.8700600000000001,0.615
1317,0.566,0.000696,0.986,0.0164,0.399,0.0836,0.0884,0.637575,0.15
20,0.854,0.000702,0.719,0.308,0.428,0.15558333333333335,0.0655,0.6402450000000001,0.471
1202,0.657,0.000704,0.827,0.00534,0.065,0.06726666666666666,0.0734,0.729445,0.698
1353,0.616,0.00075,0.946,0.0777,0.355,0.047933333333333335,0.0687,0.63996,0.332
123,0.695,0.000758,0.912,0.000103,0.302,0.055516666666666666,0.193,0.800215,0.612
